id,Date,Product,Category,Region,Units_Sold,Revenue,Cost,Logistics_Cost,Overhead_Cost,Total_Cost,Net_Profit,Loss,Profit_Status,Loss_Percentage,Loss_Reason,Customer_Age,Gender,Season,Festival,Trend
1,2025-06-19,Headphones,Fashion,West,124,477028,457791,13859,13454,485104,0,8076,Loss,1.66,Low Sales,42,Male,Summer,Diwali,Low Demand
2,2025-05-13,Sweets,Gift,South,174,210540,253323,5141,13425,271889,0,61349,Loss,22.56,High Cost,20,Male,Spring,Holi,Low Demand
3,2025-07-03,Gift Hampers,Food,East,62,116622,132499,15219,13035,160753,0,44131,Loss,27.45,Off Season,23,Female,Winter,Ugadi,Low Demand
4,2025-03-02,Umbrella,Fashion,North,42,62454,49692,7707,5724,63123,0,669,Loss,1.06,Low Sales,19,Female,Spring,Valentine,Seasonal Spike
5,2025-02-02,Smartphone,Fashion,South,28,30632,19665,5093,13559,38317,0,7685,Loss,20.06,Low Sales,32,Female,Summer,Valentine,Stable
6,2025-01-19,AC,Accessories,West,138,316158,363055,12859,11195,387109,0,70951,Loss,18.33,High Cost,48,Male,Spring,Holi,High Demand
7,2025-02-22,Cooler,Fashion,South,182,215670,185306,7760,12608,205674,9996,0,Profit,0,None,48,Male,Winter,Holi,Low Demand
8,2025-04-22,Refrigerator,Fashion,North,167,543251,518372,11905,13170,543447,0,196,Loss,0.04,High Logistics,44,Male,Monsoon,Diwali,Low Demand
9,2025-01-21,Refrigerator,Electronics,West,196,689332,713597,10651,7655,731903,0,42571,Loss,5.82,High Logistics,44,Female,Summer,Ugadi,High Demand
10,2025-06-03,Mobile,Fashion,South,57,188784,168887,17161,11518,197566,0,8782,Loss,4.45,High Logistics,39,Female,Winter,None,Trending
11,2025-04-06,Laptop,Gift,South,85,309825,345607,18722,9606,373935,0,64110,Loss,17.14,High Cost,38,Female,Summer,Valentine,Trending
12,2025-01-13,Watch,Accessories,East,200,444400,432126,15443,6894,454463,0,10063,Loss,2.21,Low Sales,50,Male,Winter,Diwali,Seasonal Spike
